open_time,BTC,ETH,BNB,XRP,ADA,SOL,DOGE,AVAX,DOT,MATIC,LINK,UNI,LTC,ATOM,ETC,XLM,TRX,NEAR,APT,ALGO,VET,ICP,FIL,AAVE,SHIB
2019-12-31 16:00:00,7195.65,130.52,13.6954,0.19301,0.03346,,0.0020251,,,,,,41.53,4.452,4.535,0.04525,,,,,0.005365,,,,
2020-01-01 16:00:00,6961.8,127.22,13.0225,0.18762,0.03272,,0.0019956,,,,,,39.44,4.168,4.2373,0.04363,,,,,0.005103,,,,
2020-01-02 16:00:00,7345.65,133.95,13.6231,0.1932,0.03403,,0.0020154,,,,,,42.05,4.238,4.5539,0.04566,,,,,0.005314,,,,
2020-01-03 16:00:00,7349.45,134.02,13.7944,0.19277,0.03441,,0.0020472,,,,,,42.58,4.265,4.7631,0.04574,,,,,0.00561,,,,
2020-01-04 16:00:00,7364.19,135.23,14.0368,0.19462,0.03455,,0.0020717,,,,,,43.26,4.245,4.8606,0.04543,,,,,0.005477,,,,
2020-01-05 16:00:00,7777.53,143.98,14.9329,0.22264,0.03723,,0.0021298,,,,,,45.7,4.081,5.0291,0.05035,,,,,0.005743,,,,
2020-01-06 16:00:00,8174.34,142.89,15.0182,0.21381,0.03704,,0.0021802,,,,,,46.33,4.081,4.8401,0.04853,,,,,0.005615,,,,
2020-01-07 16:00:00,8051.97,140.89,14.5694,0.20785,0.03641,,0.002087,,,,,,45.4,3.997,4.9475,0.04771,,,,,0.005508,,,,
2020-01-08 16:00:00,7824.32,138.08,14.4165,0.2041,0.03615,,0.0021166,,,,,,44.82,4.234,5.1862,0.04728,,,,,0.005333,,,,
2020-01-09 16:00:00,8195.0,144.32,15.0422,0.21154,0.03688,,0.002186,,,,,,49.07,4.272,5.3623,0.04795,,,,,0.005452,,,,
2020-01-10 16:00:00,8026.42,142.74,14.9509,0.21184,0.03676,,0.0021801,,,,,,49.52,4.275,5.5921,0.04836,,,,,0.00556,,,,
2020-01-11 16:00:00,8185.42,146.07,15.2986,0.21465,0.03772,,0.0022062,,,,,,51.47,4.254,5.5676,0.04889,,,,,0.005517,,,,
2020-01-12 16:00:00,8102.27,143.9,15.1852,0.21162,0.03695,,0.0021673,,,,,,49.64,4.261,5.4784,0.04813,,,,,0.00542,,,,
2020-01-13 16:00:00,8847.12,166.38,16.6507,0.23507,0.04179,,0.0023606,,,,,,58.51,4.52,6.8075,0.05296,,,,,0.005991,,,,
2020-01-14 16:00:00,8817.79,165.91,17.6664,0.23283,0.04258,,0.0023734,,,,,,57.95,4.599,7.9363,0.05449,,,,,0.006012,,,,
2020-01-15 16:00:00,8730.0,164.43,17.0525,0.22912,0.04139,,0.0023414,,,,,,57.68,5.097,8.4474,0.05367,,,,,0.005898,,,,
2020-01-16 16:00:00,8915.59,170.21,18.1047,0.24004,0.04534,,0.0024938,,,,,,61.24,5.019,9.5958,0.061,,,,,0.006361,,,,
2020-01-17 16:00:00,8917.29,174.19,17.7973,0.24388,0.04496,,0.0025154,,,,,,59.23,4.631,8.4608,0.06155,,,,,0.006264,,,,
2020-01-18 16:00:00,8718.51,166.83,17.321,0.23644,0.04204,,0.0024009,,,,,,57.68,4.488,8.2951,0.06025,,,,,0.005883,,,,
2020-01-19 16:00:00,8644.33,166.85,17.3027,0.2332,0.04393,,0.0023693,,,,,,57.22,4.51,8.6822,0.06252,,,,,0.005872,,,,
2020-01-20 16:00:00,8754.88,169.19,18.1167,0.23749,0.04622,,0.0023647,,,,,,57.56,4.656,8.9143,0.06312,,,,,0.005946,,,,
2020-01-21 16:00:00,8670.36,168.22,17.8143,0.23706,0.04582,,0.0023548,,,,,,58.28,4.633,9.2889,0.06104,,,,,0.00586,,,,
2020-01-22 16:00:00,8414.87,162.9,17.0816,0.22597,0.04346,,0.0022495,,,,,,54.46,4.466,8.4576,0.05828,,,,,0.005641,,,,
2020-01-23 16:00:00,8451.96,162.34,17.0272,0.22202,0.04496,,0.002272,,,,,,54.66,4.495,8.582,0.05748,,,,,0.005587,,,,
2020-01-24 16:00:00,8344.78,160.63,16.9378,0.22074,0.04316,,0.0022412,,,,,,53.2,4.433,8.3871,0.0561,,,,,0.005635,,,,
2020-01-25 16:00:00,8612.12,167.85,17.4624,0.23125,0.04434,,0.0022879,,,,,,55.89,4.493,9.1539,0.05831,,,,,0.005715,,,,
2020-01-26 16:00:00,8914.11,170.28,17.6844,0.23118,0.04797,,0.0024,,,,,,58.57,4.507,10.3977,0.05966,,,,,0.005767,,,,
2020-01-27 16:00:00,9380.14,175.91,18.0514,0.23933,0.05298,,0.0024336,,,,,,60.59,4.617,11.4458,0.06078,,,,,0.005816,,,,
2020-01-28 16:00:00,9300.85,173.86,17.9334,0.23507,0.0535,,0.0023882,,,,,,60.0,4.439,12.2521,0.06069,,,,,0.005758,,,,
2020-01-29 16:00:00,9526.47,184.41,18.5883,0.24357,0.05628,,0.0024156,,,,,,68.18,4.416,12.2865,0.06279,,,,,0.005686,,,,
2020-01-30 16:00:00,9352.98,179.53,18.1224,0.23906,0.05394,,0.0023927,,,,,,67.66,4.403,11.2735,0.06055,,,,,0.00574,,,,
2020-01-31 16:00:00,9388.81,183.75,18.2375,0.24125,0.05621,,0.0024196,,,,,,70.86,4.377,11.5521,0.06222,,,,,0.005999,,,,
2020-02-01 16:00:00,9332.83,188.65,18.4342,0.251,0.05566,,0.0024573,,,,,,69.96,4.408,11.4209,0.06348,,,,,0.006257,,,,
2020-02-02 16:00:00,9299.8,190.15,18.4649,0.25501,0.05704,,0.002424,,,,,,69.67,4.278,11.8389,0.06392,,,,,0.00631,,,,
2020-02-03 16:00:00,9195.95,189.06,18.1488,0.26665,0.0561,,0.0025043,,,,,,68.04,4.242,11.4264,0.06622,,,,,0.006506,,,,
2020-02-04 16:00:00,9610.31,203.85,19.2642,0.27805,0.05932,,0.0025891,,,,,,72.75,4.344,12.358,0.0687,,,,,0.006462,,,,
2020-02-05 16:00:00,9766.99,213.28,20.6531,0.28345,0.06007,,0.0026632,,,,,,73.57,4.572,12.1471,0.07056,,,,,0.006805,,,,
2020-02-06 16:00:00,9815.0,223.52,22.0819,0.27988,0.05998,,0.0027846,,,,,,74.36,4.832,11.7354,0.07205,,,,,0.00683,,,,
2020-02-07 16:00:00,9903.38,223.44,21.8083,0.27762,0.06029,,0.0031583,,,,,,76.6,4.639,11.7,0.07112,,,,,0.006669,,,,
2020-02-08 16:00:00,10153.53,228.16,24.2821,0.28278,0.06193,,0.003217,,,,,,77.0,4.758,11.658,0.07303,,,,,0.006821,,,,
2020-02-09 16:00:00,9850.16,223.3,25.1091,0.27387,0.06038,,0.0029713,,,,,,74.15,4.804,11.8609,0.0708,,,,,0.006516,,,,
2020-02-10 16:00:00,10228.72,237.19,25.6849,0.2815,0.06332,,0.0030288,,,,,,76.52,5.107,11.9738,0.07405,,,,,0.007482,,,,
